route_name,min,max,average,median
5,7.3948633164574815,898.2943949182321,93.06405127978779,57.60714873404231
8E,9.203596590928761,898.2943949182321,145.95280607989807,117.38049417313718
108E,9.203596590928761,540.7684431472753,120.10766064233648,97.6153078959976
110,3.614947499095772,898.2943949182321,138.4638400660293,83.97517861947358
112,3.614947499095772,898.2943949182321,126.56186177568492,71.79541659694229
7,9.042387119760377,898.2943949182321,118.87846829484337,82.73603854867508
107,9.212251553251306,195.12558044870434,103.17832171451884,83.84087426474389
15,15.225671357140186,1293.8286441454509,216.1453752576092,121.1747607918595
133E,0.5125199563738544,898.2943949182321,110.89983958209909,49.52333766812775
2,12.164947471852402,184.888036777251,60.056437279752394,38.151916169224855
2B,1.0524246240806276,inf,inf,28.265902178801465
23,7.447697710669701,184.888036777251,52.449282646630664,45.41181411899135
M3,5.466486167557554,177.8860768201674,61.82555506669176,48.0873783090644
29,8.907480461161896,418.40014253052584,81.66061082609777,70.72501343733131
91,17.707370052364954,219.28476119531732,77.5439100044868,63.23636420184706
56,8.907480461161896,159.5563514745769,46.037259161280204,31.587290632999803
56A,8.907480461161896,144.99033748211983,40.727747586642565,28.85215801603554
59,13.514363622931457,140.5659981973417,55.064155625364535,45.57094153556141
61,8.907480461161896,499.42540036143663,92.42319725384678,43.5051110177777
16,15.225671357140186,327.1260367830506,83.81649979702101,40.49103936899773
16A,20.80796274525237,217.34756036179792,64.25066278830545,36.66479533328565
39,10.251450769724162,inf,inf,44.548162733291704
17,15.353328778476676,499.42540036143663,98.63827502804504,59.256095454481844
M2,15.225671357140186,119.41685355110259,44.39427678014629,38.151916169224855
21,5.003982006775658,50.26664575786138,22.00428795470594,22.87064974736367
21A,15.353328778476676,50.26664575786138,28.266493624635512,28.0629257621448
102,15.353328778476676,136.40827688932302,58.92759353796604,50.26664575786138
139,13.262055374346845,499.42540036143663,103.31129597940289,75.2036763819333
140,0.0,inf,inf,0.0005101045985761899
140A,0.0,499.42540036143663,45.55767877593093,1.3049930385426511
221,1.3384574697788088,inf,inf,18.2219251831413
22,0.0,44.547488652833316,5.605398016833567,0.525376116914525
22A,0.0,inf,inf,1.1961004620444846
222,0.0,inf,inf,1.6773024986355696
128,10.748333996672413,inf,inf,29.49506116716085
129,10.246576254298976,inf,inf,29.09603467064165
149,5.630369348717958,inf,inf,58.85222501241899
155,4.202520991555219,inf,inf,24.766640506288184
156,5.080399524587934,44.547488652833316,27.910555227224375,26.76524272145959
4,7.404780921455283,119.41685355110259,60.76062427429504,55.01491729841753
6,7.404780921455283,191.6884827721522,71.25595880965767,55.01491729841753
783,0.0,60.261533305338425,5.650743623340314,2.074897008264762
784,0.0,60.261533305338425,6.974693410754104,1.9274301430122027
787,0.0,60.261533305338425,6.974693410754104,1.9274301430122027
794,0.0,60.261533305338425,5.378113893523355,2.219779745053129
795,0.0,inf,inf,2.064256005522809
60,5.604230536830337,inf,inf,27.67226405208692
291,4.786775118292297,inf,inf,67.07321324084756
9,6.661547913445453,120.63437354117512,56.243781832588546,50.45102709717008
100E,15.225671357140186,inf,inf,96.86079458662527
47,14.546685284224502,159.5563514745769,60.92019163723063,55.4873012534247
49,14.546685284224502,152.5671191447831,61.0257698128548,39.73098714082974
72,4.527095087943028,540.7684431472753,73.90931636666542,38.23434929156383
7E,26.71162780939841,540.7684431472753,146.16150682779016,87.8214358275596
20E,1.3263468650065517,114.40451538140971,44.73689379833446,27.29651498169716
30,1.5367677248482747,898.2943949182321,60.44006504865997,33.49620888189994
30A,5.867493491808109,898.2943949182321,78.39058482575594,52.59330825965643
73,55.10921088915619,1406.2516139781724,199.35046498752538,98.22376712422373
76,47.164110747023926,171.03680065600045,96.3728447138733,95.00747141010044
80,10.146807176667963,403.62597742389755,61.472034987990135,40.31922111737176
78,37.44938672230717,134.27575145355695,71.24109015022772,57.72575382778427
24,7.447697710669701,127.72324562589685,51.86329918215423,45.71181616686421
79,11.564547847257652,inf,inf,56.226018104016596
M4,19.103501935883806,144.99033748211983,70.38824931860532,57.74105677924922
74,4.527095087943028,inf,inf,53.218506382985844
99,5.466486167557554,inf,inf,27.086961282787264
217E,1.514887563123223,893.9555717856296,85.15501009690901,23.692074565267752
