300,105
301,104
302,104
303,104
305,104
306,91
308,91
309,104
310,90
311,104
312,104
313,104
314,104
315,91
316,104
317,104
318,111
319,91
320,91
321,91
396,91
397,91
398,91
399,91
400,91
401,91
402,91
410,91
411,91
412,91
413,91
414,91
415,91
416,91
422,91
424,91
430,91
431,91
432,91
433,91
434,62
435,91
436,91
437,91
438,91
439,91
440,91
441,91
442,91
480,91
482,91
484,91
485,91
486,91
504,91
505,105
506,147
508,105
509,105
510,91
575,91
576,91
577,91
578,91
580,111
581,111
607,111
608,111
616,91
625,91
626,91
627,91
628,91
629,91
630,127
631,97
632,127
633,127
635,97
636,97
650,127
653,127
654,127
655,127
656,91
657,127
660,111
661,111
672,105
673,105
674,148
675,95
676,97
679,97
688,110
689,118
690,136
691,118
700,107
708,147
709,147
710,147
711,105
712,105
713,105
714,105
715,148
720,127
722,127
724,91
725,107
727,84
731,148
732,148
733,148
734,105
735,105
736,127
756,147
760,49
762,49
763,49
764,49
767,49
770,91
775,49
777,49
779,91
781,91
782,91
783,91
784,91
785,49
786,49
787,91
788,91
789,49
791,49
793,91
794,91
795,91
798,91
799,91
800,91
815,91
820,91
821,91
830,91
832,91
840,127
848,127
869,105
872,104
880,105
881,104
882,104
883,104
884,104
885,104
886,104
887,104
888,104
889,104
890,139
893,104
895,104
1010,91 
1011,91
1012,106
1013,91
1014,91
1020,63
1021,92
1024,74
1031,92
1034,92
1037,106
1039,111
1040,81
1044,81
1045,92
1046,92
1049,92
1050,111
1051,63
1052,92
1053,65
1054,92
1060,92
1063,53
1066,92
1067,111
1068,92
1069,111
1070,92
1076,92
1077,92
1078,91
1080,92
1081,92
1085,92
1087,92
1090,111
1092,82
1094,92
1110,92
1111,92
1113,92
1115,91
1120,91
1121,92
1123,92
1125,92
1131,92
1134,92
1136,92
1172,82
1173,82
1174,81
1175,63
1176,63
1177,92
1183,55
1184,63
1185,51
1188,63
1189,74
1193,63
1194,92
1205,82
1212,92
1215,92
1216,92
1229,92
1251,82
1253,82
1254,92
1257,92
1268,92
